zcta19,zcta_area,count_ntm_stops,totpop13_17,stops_per_capita,stops_per_sqmile
"02630",6.027458,2,2277,.878349,.3318148
"02631",24.76238,6,9736,.61627,.2423031
"02632",8.779085,3,9923,.302328,.3417213
"02633",12.43424,2,4055,.493218,.1608462
"02635",6.623883,0,3301,0,0
"02637",.7299038,0,141,0,0
"02638",6.482143,0,3011,0,0
"02639",3.135977,1,2949,.339098,.3188799
"02641",2.311653,0,191,0,0
"02642",17.33182,8,4908,1.62999,.4615789
"02643",3.691844,0,0,,0
"02644",3.803044,0,4393,0,0
"02645",18.42149,4,9516,.420345,.2171377
"02646",3.320416,3,1806,1.66113,.9035012
"02647",.6580648,0,121,0,0
"02648",10.30633,2,6589,.303536,.1940555
"02649",27.35538,5,14054,.355771,.1827794
"02650",1.724005,1,906,1.10375,.5800446
"02651",.0719389,0,0,,0
"02652",10.49973,9,942,9.55414,.8571649
"02653",17.31391,8,5905,1.35478,.4620563
"02655",8.289795,1,3257,.307031,.1206302
"02657",14.59933,12,2952,4.06504,.8219556
"02659",2.28053,1,1030,.970874,.4384945
"02660",8.239206,2,6657,.300436,.2427418
"02663",2.520803,1,96,10.4167,.396699
"02664",7.81069,5,9226,.541947,.6401483
"02666",14.56965,4,638,6.26959,.2745433
"02667",24.85651,8,3075,2.60163,.3218472
"02668",17.54475,3,2807,1.06876,.1709913
"02669",1.102765,0,158,0,0
"02670",2.734987,0,1158,0,0
"02671",2.135058,0,889,0,0
"02672",.5398608,0,368,0,0
"02673",12.61909,2,8397,.23818,.15849
"02675",9.77107,0,6314,0,0
"02702",17.91971,0,4472,0,0
"02703",27.77741,55,44326,1.24081,1.980026
"02713",12.13251,1,25,40,.0824231
"02715",11.97462,0,3703,0,0
"02717",18.47989,0,4703,0,0
"02718",10.67716,8,6295,1.27085,.749263
"02719",15.72875,34,16027,2.12142,2.161646
"02720",12.55195,178,31126,5.71869,14.18107
"02721",6.051259,137,25985,5.27227,22.63992
"02723",1.81695,56,14236,3.93369,30.82087
"02724",2.427986,88,17391,5.06009,36.24404
"02725",5.007924,4,2453,1.63066,.7987342
"02726",6.88557,19,15804,1.20223,2.759394
"02738",19.97992,1,5065,.197433,.0500502
"02739",19.56127,1,6245,.160128,.0511214
"02740",6.503528,274,43686,6.27203,42.13098
"02743",18.95085,0,10443,0,0
"02744",1.810197,49,11184,4.38126,27.06888
"02745",10.55214,99,24294,4.07508,9.381987
"02746",2.236435,60,15637,3.83705,26.82842
"02747",50.31584,57,23568,2.41853,1.132844
"02748",25.63393,17,11316,1.5023,.6631836
"02760",18.46545,15,27100,.553506,.8123277
"02762",11.50908,2,9000,.222222,.1737758
"02763",.9145598,2,1933,1.03466,2.186844
"02764",10.65404,3,3872,.774793,.2815833
"02766",29.31343,14,19515,.717397,.4775967
"02767",24.09716,9,14018,.642032,.3734879
"02769",47.47776,0,11990,0,0
"02770",34.57595,0,5199,0,0
"02771",18.62965,1,14957,.066858,.0536779
"02777",25.25037,4,16204,.246853,.1584135
"02779",17.42552,0,6630,0,0
