Zipcode,Latitude,Longitude,Total_Students,Free Lunch (%),Reduced Lunch (%),PCT_FreeReduced,Grad Rate (%),College Readiness (%),Stop Count,Stops Per Capita,Stops per Sq Mile
49401,42.9711,-85.9249,2662.0,0.239293764087153,0.053343350864012,0.292637114951165,0.905263157894737,0.5,21,0.917351,0.8020767
49418,42.8939,-85.7619,5125.0,0.25619512195122,0.0704390243902439,0.326634146341463,0.913716814159292,0.489795918367347,75,2.63029,3.836673
49503,42.9659,-85.6527,4608.0,0.761067708333333,0.0457899305555556,0.806857638888889,0.866666666666667,0.0434782608695652,340,9.3235,46.14989
49504,42.9737,-85.7265,7121.0,0.701446426063755,0.0640359500070215,0.765482376070777,0.525483304042179,0.135135135135135,179,4.64561,15.92916
49505,43.012,-85.6309,2578.0,0.581846392552366,0.0535298681148177,0.635376260667184,0.814814814814815,0.563492063492063,102,3.2009,11.16977
49506,42.944,-85.6213,4193.0,0.286668256618173,0.0197948962556642,0.306463152873837,0.882882882882883,0.524752475247525,111,3.26576,14.17907
49507,42.9318,-85.6542,4121.0,0.858044164037855,0.0397961659791313,0.897840330016986,0.255813953488372,0.0,161,4.18954,29.17548
49508,42.8894,-85.6219,8551.0,0.607414337504385,0.0853701321482867,0.692784469652672,0.886097152428811,0.270450751252087,98,2.37778,8.10889
49509,42.9134,-85.7053,4221.0,0.758114190950012,0.0751006870409855,0.833214877990997,0.754022988505747,0.114634146341463,128,4.67324,17.62341
49512,42.8802,-85.5352,1332.0,0.412912912912913,0.048048048048048,0.460960960960961,0.871794871794872,0.552795031055901,93,5.47832,4.072759
49525,43.0135,-85.6027,8509.0,0.274767892819368,0.0535903161358562,0.328358208955224,0.798825256975037,0.538461538461538,12,0.407498,0.4890617
49534,43.0141,-85.7543,2223.0,0.417903733693207,0.0710751237067027,0.48897885739991,0.772727272727273,0.379310344827586,47,2.1682,1.303005
49544,43.0073,-85.7255,2575.0,0.377087378640777,0.0749514563106796,0.452038834951456,0.853556485355649,0.306603773584906,21,2.10843,1.001814
49546,42.928,-85.5483,4263.0,0.181093126905935,0.0283837673000235,0.209476894205958,0.957446808510638,0.68370607028754,70,2.07487,3.746581
49548,42.8697,-85.6628,6331.0,0.734481124624862,0.0870320644447955,0.821513189069657,0.767924528301887,0.175542406311637,106,3.24219,10.00908
